date_column,nc_5g,g4_avail_auto,s1_failure,rrc_ue,traffic_4g,eut_4g_bh,eut_4g_bh_count_less_31,dl_prb_util,dl_prb_util_count_gt_09,cqi_bh,cqi_less_than_7,dl_user_thp_bhv,traffic_5g,da_5g
2025-07-01,NC-SBY-BRT-15,0.999998097411576,1524,9382.614822300004,28712.1694996,13.882777593424644,23,0.5363563926027393,25,9.60451158456681,15,5.475048229020957,0.0,0.0
2025-07-01,NC-SBY-BRT-16,0.9999972693865872,723,10008.234385499998,35911.69968349997,12.562932533780163,28,0.58664655924933,35,9.56536125045694,3,5.450005641897252,0.0,0.0
2025-07-01,NC-SBY-BRT-17,0.9999979556656854,1155,9451.921400700005,32765.090806899967,12.98451920000001,25,0.5804750904891308,44,9.299279779825412,4,4.546392882481346,0.0,0.0
2025-07-01,NC-SBY-SEL-18,0.9976164717677752,2133,10457.069301499994,33653.08328249997,13.843266125790764,28,0.5485261557177615,34,9.505830847578162,9,5.332938191981982,0.0,0.0
2025-07-01,NC-SBY-SEL-19,0.9999558563662606,11705,8332.883599400004,26027.51178949997,14.249423326686218,23,0.5200993215116276,21,9.229879625414048,12,4.650705925327551,0.0,0.0
2025-07-01,NC-SBY-SEL-20,0.9999896164021164,564,8661.723310899999,26922.015553899997,15.735279597877987,18,0.4959053936339524,20,9.447828578694455,10,5.02248596402706,0.0,0.0
2025-07-01,NC-SBY-SEL-21,0.9997107329398996,1133,7352.335302899997,24568.4810795,12.766031330769234,13,0.5816163003663004,27,9.431640105016442,5,5.907065701383676,0.0,0.0
2025-07-01,NC-SBY-SEL-22,0.9995193157811468,1029,8908.501538500002,27758.33323240001,15.96023385425532,16,0.5059671984042559,22,9.669355253124522,6,5.924676843451564,0.0,0.0
2025-07-01,NC-SBY-SEL-23,0.9746817150916812,1741,6861.192773799996,22174.485329299983,10.87236483659575,41,0.631374299579832,38,9.335807318174416,16,4.224210456799293,0.0,0.0
2025-07-01,NC-SBY-TMR-10,0.999729144139258,1619,7097.112809700003,23222.4568132,13.753964195804205,9,0.5481043122377621,9,9.37003675871941,5,6.579729227325281,0.0,0.0
2025-07-01,NC-SBY-TMR-11,0.9999970296646368,3029,9607.916187899997,30433.8439352,13.320332016618076,18,0.5636474734693877,33,9.481055111039138,8,5.565540578020466,0.0,0.0
2025-07-01,NC-SBY-TMR-12,0.9998750802706854,1214,6681.575041399994,22209.053473999997,17.206973577887798,3,0.4645519801980198,13,9.707094725656727,10,7.572778971797563,0.0,0.0
2025-07-01,NC-SBY-TMR-13,0.9998708092662728,1679,9912.2995158,32756.649322099995,13.565854928042333,27,0.5471205910052909,33,9.306250371825476,2,5.288786657948086,0.0,0.0
2025-07-01,NC-SBY-TMR-14,0.9996411892521976,785,7894.424967499998,25852.117468899996,13.528770686503066,21,0.534375382262997,22,9.385697584360807,19,4.446354468364355,0.0,0.0
2025-07-01,NC-SBY-TMR-8,0.9998134732841968,570,8024.224018799998,27573.3317567,13.460049641390732,17,0.5817715231788082,21,9.684366019027289,8,5.911757596094476,0.0,0.0
2025-07-01,NC-SBY-TMR-9,0.987575705456508,732,7420.544346500003,27819.47738850001,14.067498128571431,25,0.5461356105590062,23,9.561576654412656,2,5.613854865449179,0.0,0.0
2025-07-01,NC-SBY-UTR-1,0.9993660632644132,3368,7598.583253599989,24113.13634680001,14.860017625698326,27,0.5142837522346372,22,9.261481432940052,21,5.440495061179398,0.0,0.0
2025-07-01,NC-SBY-UTR-2,0.999910582010582,4070,12345.092460699998,45665.93273500002,12.857431398666671,37,0.5668757142857147,31,9.420193635648475,10,5.146409405808353,0.0,0.0
2025-07-01,NC-SBY-UTR-3,0.9999971521205748,764,8159.202115600003,27423.8675511,14.449101722018344,17,0.5333205911314987,25,9.651380399815896,12,5.613260680801387,0.0,0.0
2025-07-01,NC-SBY-UTR-4,0.9830776963110583,2894,7570.845665000001,24252.16782329999,13.290467607142856,16,0.5934069548872187,21,9.797144776087723,4,5.75122221470903,0.0,0.0
