Region,Historical_Avg,Forecast_Avg,Change,Change_Pct
BALI NUSRA,1609.64,1855.51,245.87,15.27
CENTRAL JAVA,7032.61,7324.62,292.01,4.15
EAST JAVA,5290.69,5740.16,449.47,8.5
