Kabupaten,Region,Province,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore,Absolute_Growth,Percentage_Growth,Has_Forecast
Kota Surabaya,EAST JAVA,JAWA TIMUR,816.31,74.47,324.25,1147.1,910.13,35.5,816.18,977.53,386,75,93.81,11.49,True
Kota Semarang,CENTRAL JAVA,JAWA TENGAH,505.15,40.66,253.19,712.56,566.62,20.53,530.63,615.86,386,75,61.48,12.17,True
Sidoarjo,EAST JAVA,JAWA TIMUR,590.85,43.55,270.86,838.27,640.69,25.66,582.91,702.15,386,75,49.84,8.44,True
Kota Denpasar,BALI NUSRA,BALI,307.89,33.48,70.27,427.97,354.53,13.94,324.98,382.82,386,75,46.63,15.15,True
Sleman,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,382.64,31.41,178.87,553.92,426.6,17.03,395.78,470.9,386,75,43.95,11.49,True
Badung,BALI NUSRA,BALI,262.19,29.87,46.09,363.26,301.57,12.93,277.59,332.04,386,75,39.38,15.02,True
Malang,EAST JAVA,JAWA TIMUR,265.59,22.42,126.65,368.29,304.23,10.35,284.16,327.3,386,75,38.64,14.55,True
Kota Malang,EAST JAVA,JAWA TIMUR,166.33,15.2,81.22,227.07,196.31,9.57,159.73,212.89,386,75,29.97,18.02,True
Bangkalan,EAST JAVA,JAWA TIMUR,188.18,22.39,87.02,265.69,216.19,7.74,199.52,233.85,386,75,28.02,14.89,True
Gresik,EAST JAVA,JAWA TIMUR,301.73,19.83,141.39,425.21,328.47,11.06,304.02,360.78,386,75,26.74,8.86,True
Kediri,EAST JAVA,JAWA TIMUR,212.06,18.83,104.42,311.91,231.53,8.5,212.91,250.27,386,75,19.47,9.18,True
Bantul,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,241.36,20.4,111.78,356.52,260.49,13.78,230.52,294.27,386,75,19.12,7.92,True
Magelang,CENTRAL JAVA,JAWA TENGAH,225.67,21.65,105.39,324.48,242.8,9.92,223.9,272.81,386,75,17.13,7.59,True
Blitar,EAST JAVA,JAWA TIMUR,138.32,12.77,66.72,211.94,155.1,5.53,144.5,166.43,386,75,16.78,12.13,True
Pamekasan,EAST JAVA,JAWA TIMUR,74.3,9.78,35.27,102.3,91.02,3.26,81.14,97.88,386,75,16.71,22.49,True
Gianyar,BALI NUSRA,BALI,111.85,11.6,15.03,155.29,127.69,5.56,117.03,142.36,386,75,15.84,14.17,True
Kota Mataram,BALI NUSRA,NUSA TENGGARA BARAT,52.41,8.17,22.61,81.15,68.04,3.11,61.28,75.57,386,75,15.63,29.83,True
