Province,Historical_Avg,Forecast_Avg,Change,Change_Pct
Bali,1033.23,1156.32,123.09,11.91
D.I. Yogyakarta,911.29,983.79,72.51,7.96
Jawa Tengah,6121.32,6366.35,245.02,4.0
Jawa Timur,5290.69,5721.46,430.77,8.14
NTB,266.27,331.77,65.5,24.6
NTT,310.14,370.05,59.91,19.32
