Province,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore
Bali,1033.23,98.76,226.24,1428.19,1156.32,52.29,1009.2,1274.81,386,75
D.I. Yogyakarta,911.29,72.4,424.5,1314.85,983.79,51.04,894.22,1122.14,386,75
Jawa Tengah,6121.32,537.07,3008.75,8508.78,6366.35,303.64,5802.88,7183.44,386,75
Jawa Timur,5290.69,362.65,2517.72,7196.69,5721.46,199.1,5282.08,6197.52,386,75
NTB,266.27,41.95,112.34,420.59,331.77,21.45,292.24,391.87,386,75
NTT,310.14,51.17,124.01,458.56,370.05,25.5,314.67,436.1,386,75
