Region,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore
BALI NUSRA,1609.64,178.11,704.86,2307.34,1855.51,98.63,1587.62,2100.99,386,75
CENTRAL JAVA,7032.61,593.55,3433.25,9716.17,7324.62,360.03,6707.69,8440.72,386,75
EAST JAVA,5290.69,362.65,2517.72,7196.69,5740.16,200.49,5365.15,6198.91,386,75
